thème,Question,reponse1,reponse2,reponse3,Bonne reponse
Guerre Froide,Quels sont les deux blocs qui s'opposent ?,L'Axe et les Alliés.,Les États-Unis (Ouest) et l'URSS (Est).,L'Europe et l'Asie.,2
Guerre Froide,Quelle alliance militaire est créée par les États-Unis en 1949 ?,L'ONU.,L'OTAN.,Le Pacte de Varsovie.,2
Guerre Froide,Quel symbole séparait Berlin en deux de 1961 à 1989 ?,Le Mur de Berlin.,La Ligne Maginot.,Le Rideau de Fer.,1
Guerre Froide,En quelle année le Mur de Berlin est-il tombé ?,1985,1989,1991,2
Guerre Froide,Quel terme désigne la course aux armements nucléaires ?,La Détente.,L'Équilibre de la terreur.,Le Containment.,2
Guerre Froide,Quelle crise de 1962 a failli dégénérer en conflit nucléaire ?,La Guerre de Corée.,La Crise de Suez.,La Crise de Cuba.,3
Guerre Froide,Quel plan d'aide économique américain a aidé à reconstruire l'Europe de l'Ouest en 1947 ?,Le Plan Schlieffen.,Le Plan Marshall.,Le New Deal.,2
Guerre Froide,Quelle guerre en Asie (1950-1953) a fini par une partition du pays toujours en vigueur ?,La guerre du Vietnam.,La guerre de Corée.,La guerre d'Indochine.,2
Guerre Froide,Qui a prononcé le célèbre discours sur le "Rideau de fer" en 1946 ?,Winston Churchill.,Franklin Roosevelt.,Harry Truman.,1
Guerre Froide,Quelle expression désigne la période d'apaisement relatif dans les années 1960-70 ?,La Guerre fraîche.,La Détente.,La Glaciation.,2
Guerre Froide,Quel pays a envoyé le premier homme dans l'espace (Youri Gagarine) ?,Les États-Unis.,L'URSS.,La Chine.,2
Guerre Froide,Quel conflit s'est soldé par une défaite américaine au milieu des années 70 ?,La guerre du Vietnam.,La guerre de Corée.,La crise de Cuba.,1
Guerre Froide,Quel dirigeant soviétique a lancé la Perestroïka dans les années 80 ?,Staline.,Brejnev.,Gorbatchev.,3
Guerre Froide,En quelle année l'URSS a-t-elle officiellement disparu ?,1989,1991,2000,2
Guerre Froide,Comment appelait-on l'alliance militaire du bloc de l'Est ?,L'OTAN.,Le Pacte de Varsovie.,Le Kominform.,2
