thème,Question,reponse1,reponse2,reponse3,Bonne reponse
Révolution Soviétique,En quelle année la Révolution Russe qui renverse le tsar a-t-elle eu lieu ?,1905,1917,1922,2
Révolution Soviétique,Quel est le nom du dernier tsar de Russie renversé lors de cette révolution ?,Alexandre II,Nicolas II,Pierre le Grand,2
Révolution Soviétique,Quel parti politique dirigé par Lénine a pris le pouvoir lors de la Révolution d'Octobre ?,Les Mencheviks.,Les Bolcheviks.,Les Socialistes-Révolutionnaires.,2
Révolution Soviétique,Comment s'appelle le chef qui succède à Lénine et instaure une dictature totale ?,Léon Trotski.,Joseph Staline.,Nikita Khrouchtchev.,2
Révolution Soviétique,Quel est le nom du régime politique mis en place en Russie basé sur les idées de Marx ?,Le Capitalisme.,Le Communisme.,Le Fascisme.,2
Révolution Soviétique,Quel nom donnaient-on aux conseils d'ouvriers et de soldats ?,Les Kolkhozes.,Les Soviets.,Les Doumas.,2
Révolution Soviétique,Quelle ville a été rebaptisée Leningrad en 1924 ?,Moscou.,Petrograd (Saint-Pétersbourg).,Kiev.,2
Révolution Soviétique,Comment appelle-t-on la police politique créée pour traquer les opposants ?,La Tchéka (puis NKVD/KGB).,La CIA.,La Gestapo.,1
Révolution Soviétique,Quelle guerre civile a déchiré la Russie après la révolution (1918-1921) ?,Rouges contre Blancs.,Nord contre Sud.,Est contre Ouest.,1
Révolution Soviétique,Qu'est-ce que le Goulag ?,Un plan économique.,Un système de camps de travail forcé.,Une fête nationale.,2
Révolution Soviétique,Quelle mesure économique Staline impose-t-il aux paysans à partir de 1929 ?,La privatisation.,La collectivisation des terres.,L'exode rural volontaire.,2
Révolution Soviétique,Quel traité la Russie a-t-elle signé en 1918 pour sortir de la Première Guerre mondiale ?,Le traité de Versailles.,Le traité de Brest-Litovsk.,Le traité de Trianon.,2
Révolution Soviétique,Comment appelle-t-on les paysans riches visés par la "dékoulakisation" ?,Les Moujiks.,Les Koulaks.,Les Boyards.,2
Révolution Soviétique,Quel outil Staline utilise-t-il pour contrôler l'image du chef et l'opinion ?,La publicité commerciale.,La propagande et le culte de la personnalité.,Les réseaux sociaux.,2
Révolution Soviétique,Quelle famine terrible a touché l'Ukraine dans les années 1930 ?,L'Holodomor.,Le Grand Bond en avant.,La Peste noire.,1
