thème,Question,reponse1,reponse2,reponse3,Bonne reponse
Seconde Guerre Mondiale ,Quelle date marque le début officiel de la 2GM en Europe ?,1er septembre 1939.,10 mai 1940.,7 décembre 1941.,1
Seconde Guerre Mondiale ,Quelles sont les trois principales puissances de l'Axe ?,Allemagne Italie Japon.,Allemagne Italie Espagne.,Allemagne Italie URSS.,1
Seconde Guerre Mondiale ,Comment appelle-t-on l'extermination systématique des Juifs par les nazis ?,Le Goulag.,La Shoah.,La Solution Finale.,2
Seconde Guerre Mondiale ,Quelle ville est le théâtre d'une bataille décisive à l'Est en 1942-1943 ?,Berlin.,Stalingrad.,Koursk.,2
Seconde Guerre Mondiale ,Quel jour a eu lieu le débarquement allié en Normandie (Jour J) ?,6 juin 1944.,15 août 1944.,8 mai 1945.,1
Seconde Guerre Mondiale ,Par quel événement la 2GM prend-elle fin dans le monde ?,Le suicide d'Hitler.,La capitulation de l'Allemagne.,Le largage des bombes atomiques sur le Japon.,3
Seconde Guerre Mondiale ,Quelle tactique militaire allemande est basée sur la rapidité des chars et de l'aviation ?,La guerre de tranchées.,La Blitzkrieg (guerre éclair).,La guerre d'usure.,2
Seconde Guerre Mondiale ,Qui est le chef de la France Libre qui lance l'appel du 18 juin ?,Philippe Pétain.,Charles de Gaulle.,François Mitterrand.,2
Seconde Guerre Mondiale ,Quel est le nom du régime collaborateur mis en place en France ?,Le régime de Vichy.,La IVe République.,La Commune.,1
Seconde Guerre Mondiale ,Quel unificateur de la Résistance française a été torturé et tué par les nazis ?,Jean Moulin.,Guy Môquet.,Charles de Gaulle.,1
Seconde Guerre Mondiale ,Quel événement provoque l'entrée en guerre des États-Unis en 1941 ?,Le naufrage du Lusitania.,L'attaque de Pearl Harbor.,La bataille de Midway.,2
Seconde Guerre Mondiale ,Sur quelles villes japonaises les bombes atomiques ont-elles été larguées ?,Tokyo et Osaka.,Hiroshima et Nagasaki.,Kyoto et Yokohama.,2
Seconde Guerre Mondiale ,Comment s'appelle l'opération d'invasion de l'URSS par l'Allemagne en 1941 ?,Opération Lion de Mer.,Opération Barbarossa.,Opération Overlord.,2
Seconde Guerre Mondiale ,Quelle conférence en 1945 réunit Churchill Roosevelt et Staline pour organiser l'après-guerre ?,La conférence de Munich.,La conférence de Yalta.,La conférence de Berlin.,2
Seconde Guerre Mondiale ,Quel procès a jugé les hauts dignitaires nazis après la guerre ?,Le procès de Tokyo.,Le procès de Nuremberg.,Le procès de Rivonia.,2
